"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"SS","Oyler, Ray R  ","$1,198,000","6769",".198",".278",".271","40.5","138.1","10.4","Vg","7684",".602",".508","-2","","","","","Vg/92","","","","&nbsp;","Pr","Prone",".300",".261",  
"RF, 2B, 3B, SS, LF, CF","Radford, Paul R  ","$1,198,000","13418",".204",".311",".263","51.0","122.0","7.64","Av","15635",".597",".552","-1","","","Av/129","Av/112","Av/109","Av/94","Fr/94","Av/94","Vg","Vg","Normal",".321",".301",  
"2B, 3B","Beckham, Gordon R  ","$1,197,000","4220",".218",".288",".297","49.6","140.7","12.4","Vg","4722",".573",".592","0","","","Av/89","Av/101","","","","","&nbsp;","Fr","Prone",".279",".294",  
"C, 1B","Pavletich, Don R  ","$1,196,000","8513",".221",".296",".344","59.2","46.3","10.4","Fr","9536",".661",".619","-1","Av/145","Fr/60","","","","","","","&nbsp;","Pr","Normal",".305",".287",  
"1B, 3B, LF","Johnson, Deron R  ","$1,195,000","69035",".236",".313",".406","73.8","27.1","9.98","Pr","77669",".755",".670","-2","","Fr/84","","Fr/104","","Fr/77","","","Fr","Pr","Normal",".324",".296",  
"RF, LF, CF","Bell, Derek R  ","$1,190,000","7412",".250",".311",".344","62.2","66.8","13.1","Av","8178",".664",".649","-1","","","","","","Av/123","Fr/123","Av/123","Av","Vg","Prone",".316",".309",  
"LF, CF, RF","Spilborghs, Ryan R  ","$1,190,000","4949",".247",".324",".340","65.2","76.1","9.95","Av","5574",".669",".657","-1","","","","","","Av/134","Fr/134","Av/134","Av","Av","Prone",".330",".316",  
"C","Barajas, Rod R  ","$1,189,000","3613",".231",".272",".356","56.2","38.8","19.6","Pr","3867",".608",".640","0","Av/87","","","","","","","","&nbsp;","Pr","Fragile",".268",".275",  
"C","Killefer, Bill R  ","$1,186,000","9304",".218",".255",".275","37.1","113.5","24.4","Fr","9936",".569",".505","-1","Ex/82","","","","","","","","&nbsp;","Fr","Normal",".267",".247",  
"CF","Marsans, Armando R  ","$1,182,000","6504",".269",".320",".352","68.5","68.5","14.7","Av","7160",".694",".609","-1","","","","","","","Av/86","","Av","Ex","Normal",".325",".304",  
"2B, SS, LF, CF, RF","Bannister, Alan R  ","$1,180,000","5996",".242",".310",".303","59.2","352.7","11.5","Vg","6680",".611",".612","0","","","Fr/160","","Fr/185","Av/92","Fr/92","Av/92","Fr","Vg","Prone",".305",".311",  
"C","Todd, Al R  ","$1,180,000","8256",".243",".277",".338","50.4","63.5","25.6","Fr","8780",".636",".590","-1","Vg/117","","","","","","","","&nbsp;","Fr","Normal",".282",".269",  
"C","Evans, Al R  ","$1,177,000","6992",".237",".303",".328","57.4","75.2","11.8","Fr","7744",".620",".639","-1","Fr/130","","","","","","","","&nbsp;","Fr","Prone",".298",".306",  
"RF, LF","Clark, Dave L  ","$1,171,000","10523",".248",".319",".366","67.4","45.6","10.6","Av","11737",".682",".685","1","","","","","","Fr/152","","Fr/152","Fr","Fr","Normal",".320",".318",  
"RF, LF, CF","Reynolds, R.J. S  ","$1,171,000","16183",".260",".313",".358","65.0","103.7","14.0","Av","17676",".675",".669","0","","","","","","Av/134","Fr/134","Av/134","Av","Vg","Prone",".312",".314",  
"LF, RF","Turner, Jerry L  ","$1,170,000","3625",".243",".304",".363","65.2","45.3","12.3","Av","4001",".647",".670","1","","","","","","Av/195","","Av/195","Av","Av","Normal",".293",".306",  
"3B, 2B, CF","Macias, Jose S  ","$1,169,000","7840",".239",".283",".304","49.0","230.6","17.3","Av","8485",".570",".594","0","","","Av/72","Av/105","","","Av/107","","Av","Av","Normal",".274",".286",  
"LF, RF","Braggs, Glenn R  ","$1,168,000","7539",".250",".316",".382","69.2","43.8","12.2","Av","8346",".709",".659","-2","","","","","","Av/197","","Av/197","Av","Av","Prone",".323",".296",  
"RF, LF","Guillen, Jose R  ","$1,167,000","11361",".261",".311",".382","67.8","44.4","19.4","Av","12365",".733",".641","-1","","","","","","Av/175","","Av/175","Av","Fr","Prone",".324",".294",  
"SS, 2B","Belliard, Rafael R  ","$1,165,000","12445",".205",".247",".229","26.3","1382.8","21.9","Av","13383",".472",".479","0","","","Vg/55","","Av/78","","","","&nbsp;","Av","Prone",".245",".248",  
"C, 2B, 3B, SS, LF, CF, RF","Miller, Doggie R  ","$1,165,000","3716",".230",".291",".302","49.7","80.8","13.2","Av","4069",".595",".592","-1","Fr/104","","Pr/159","Av/133","Pr/146","Av/122","Fr/122","Av/122","Fr","Vg","Normal",".290",".291",  
"C","Montgomery, Bob R  ","$1,165,000","6683",".241",".282",".333","52.0","81.5","19.8","Fr","7159",".624",".606","0","Av/114","","","","","","","","&nbsp;","Pr","Normal",".287",".277",  
"C, 3B","Trevino, Alex R  ","$1,165,000","9981",".244",".301",".325","55.0","131.3","14.1","Fr","10936",".665",".572","-1","Av/139","","","Pr/164","","","","","&nbsp;","Fr","Normal",".314",".283",  
"2B, SS","Coleman, Jerry R  ","$1,162,000","8006",".254",".312",".322","58.7","160.1","13.6","Av","8842",".652",".614","-2","","","Av/100","","Fr/122","","","","&nbsp;","Fr","Prone",".321",".302",  
"C","Hundley, Nick R  ","$1,161,000","3129",".238",".289",".359","59.3","46.0","15.2","Fr","3394",".625",".660","0","Av/128","","","","","","","","&nbsp;","Fr","Prone",".288",".289",  
"LF","Redus, Frog R  ","$1,158,000","4314",".251",".293",".371","60.3","47.9","19.3","Av","4643",".711",".591","-1","","","","","","Av/100","","","Fr","Vg","Normal",".312",".263",  
"2B","Getz, Chris L  ","$1,157,000","6194",".248",".299",".287","54.6","774.2","15.7","Vg","6831",".572",".583","0","","","Av/84","","","","","","&nbsp;","Vg","Fragile",".294",".297",  
"LF, 1B, CF, RF","Tebeau, George R  ","$1,157,000","8212",".216",".306",".311","58.5","93.3","8.83","Vg","9354",".637",".582","-1","","Av/133","","","","Av/108","Av/108","Av/108","Fr","Ex","Prone",".312",".296",  
"RF, LF, CF","Pena, Wily Mo R  ","$1,155,000","20850",".243",".298",".393","67.1","27.5","14.8","Av","22712",".716",".673","-1","","","","","","Av/159","Av/159","Av/159","Av","Fr","Fragile",".306",".292",  
"LF","Lamar, Bill L  ","$1,152,000","5368",".271",".303",".380","65.5","57.1","22.2","Av","5747",".612",".694","3","","","","","","Fr/137","","","Av","Av","Normal",".264",".309",  
"SS","DiSarcina, Gary R  ","$1,151,000","10170",".237",".269",".281","40.2","2034.0","26.9","Av","10817",".574",".537","0","","","","","Vg/93","","","","&nbsp;","Av","Prone",".282",".262",  
"SS","Guzman, Cristian S  ","$1,151,000","4730",".252",".288",".318","53.3","278.2","20.5","Vg","5060",".632",".586","-1","","","","","Av/112","","","","&nbsp;","Av","Fragile",".303",".275",  
"2B, 3B, SS, LF, CF, RF","Miksis, Eddie R  ","$1,151,000","12406",".219",".267",".281","40.3","121.6","16.6","Vg","13475",".579",".516","-1","","","Av/149","Av/74","Fr/104","Av/46","Fr/46","Av/46","Pr","Av","Normal",".278",".255",  
"C","Borders, Pat R  ","$1,148,000","11130",".246",".281",".338","51.9","87.0","21.4","Pr","11843",".637",".606","-1","Av/128","","","","","","","","&nbsp;","Pr","Normal",".287",".277",  
"LF, CF, RF","Heisey, Chris R  ","$1,148,000","2052",".224",".285",".353","60.8","40.2","14.7","Vg","2260",".622",".652","1","","","","","","Av/74","Fr/74","Av/74","Av","Av","Prone",".282",".288",  
"LF, CF, RF","Lord, Bris R  ","$1,146,000","3441",".257",".306",".373","66.7","67.5","15.2","Av","3779",".689",".664","-1","","","","","","Fr/100","Fr/100","Fr/100","Fr","Av","Normal",".311",".298",  
"2B, SS","McClellan, Bill L  ","$1,145,000","4548",".208",".284",".259","44.3","156.8","10.7","Vg","5114",".473",".568","1","","","Av/112","","Av/110","","","","&nbsp;","Vg","Normal",".261",".293",  
"RF, LF","Stanton, Leroy R  ","$1,145,000","10295",".252",".315",".400","72.4","35.7","12.5","Av","11395",".723",".709","0","","","","","","Fr/141","","Fr/141","Av","Av","Prone",".317",".314",  
"LF, 2B, SS","Stewart, Jimmy S  ","$1,142,000","7328",".229",".301",".276","50.5","458.0","11.0","Av","8162",".578",".576","0","","","Av/76","","Fr/92","Fr/119","","","Av","Av","Normal",".303",".300",  
"SS, 2B, 3B, LF","Valentine, Bobby R  ","$1,140,000","9929",".247",".308",".312","56.5","180.5","12.8","Av","10987",".605",".628","0","","","Av/122","Av/208","Av/124","Av/125","","","Fr","Av","Normal",".299",".312",  
"RF, LF, CF","Darwin, Bobby R  ","$1,139,000","21374",".239",".298",".395","65.1","29.9","14.8","Av","23415",".718",".647","-1","","","","","","Fr/125","Pr/125","Fr/125","Vg","Fr","Normal",".306",".283",  
"SS, 2B","Washington, U.L. S  ","$1,136,000","7213",".245",".309",".327","62.5","109.3","11.8","Av","8045",".665",".616","-1","","","Av/166","","Av/121","","","","&nbsp;","Vg","Normal",".314",".305",  
"C","Cerone, Rick R  ","$1,126,000","6838",".234",".293",".326","54.6","83.4","13.4","Pr","7507",".635",".594","-1","Fr/73","","","","","","","","&nbsp;","Pr","Prone",".299",".283",  
"SS","Irwin, Arthur L  ","$1,126,000","5477",".220",".286",".279","44.8","156.5","12.2","Av","6064",".486",".582","1","","","","","Av/95","","","","&nbsp;","Ex","Normal",".262",".292",  
"3B, 2B, SS, LF","Royster, Jerry R  ","$1,125,000","11414",".230",".299",".290","51.6","253.6","11.3","Vg","12775",".617",".566","-1","","","Av/143","Av/99","Av/138","Av/160","","","Fr","Vg","Normal",".308",".293",  
"2B, 1B, 3B","Cairo, Miguel R  ","$1,124,000","6369",".241",".290",".287","49.1","796.1","18.1","Av","6985",".588",".570","-1","","Fr/136","Av/83","Fr/124","","","","","&nbsp;","Av","Prone",".291",".290",  
"LF, RF","Holmes, Ducky L  ","$1,124,000","6492",".249",".303",".361","65.0","56.5","15.7","Vg","7123",".681",".661","1","","","","","","Av/126","","Av/126","Av","Ex","Prone",".308",".302",  
"C, 1B","Kerins, John R  ","$1,123,000","3133",".230",".291",".337","56.2","55.0","12.8","Av","3444",".648",".609","-1","Av/85","Av/112","","","","","","","&nbsp;","Av","Prone",".303",".279",  
"C, LF","Perkins, Bill R  ","$1,122,000","13200",".225",".277",".331","49.3","39.5","15.4","Pr","14277",".632",".585","-1","Fr/100","","","","","Fr/133","","","Av","Pr","Normal",".282",".271",  
"C","Brown, Dick R  ","$1,120,000","5618",".249",".290",".365","59.2","40.1","19.1","Pr","6017",".681",".612","-1","Av/100","","","","","","","","&nbsp;","Pr","Fragile",".303",".268",  
"SP, LF, RF","Terry, Adonis R  ","$1,119,000","787",".203",".252",".301","38.2","60.5","16.0","Fr","849",".597",".500","-1","","","","","","Av/122","","Av/122","Av","Vg","Normal",".271",".232",  
"SS","Meacham, Bob S  ","$1,118,000","4258",".236",".315",".284","56.8","851.6","10.8","Vg","4908",".599",".599","-1","","","","","Av/123","","","","&nbsp;","Vg","Prone",".316",".314",  
"RF, LF, CF","Ripple, Jimmy L  ","$1,115,000","5829",".260",".326",".356","69.0","79.8","11.8","Av","6508",".651",".686","-1","","","","","","Fr/62","Fr/62","Fr/62","Fr","Pr","Normal",".317",".327",  
"SS, 2B","Warstler, Rabbit R  ","$1,115,000","10027",".207",".274",".269","41.9","135.5","12.2","Av","11167",".570",".527","0","","","Vg/119","","Vg/106","","","","&nbsp;","Fr","Normal",".286",".267",  
"CF","Oakes, Rebel L  ","$1,114,000","5660",".252",".306",".335","60.4","69.9","14.8","Av","6232",".540",".669","1","","","","","","","Av/94","","Av","Av","Normal",".261",".319",  
"C","Smith, Hal R. R  ","$1,113,000","11376",".243",".280",".312","47.5","137.1","20.3","Pr","12127",".609",".579","-2","Vg/92","","","","","","","","&nbsp;","Pr","Prone",".287",".276",  
"2B","Aspromonte, Ken R  ","$1,110,000","965",".228",".321",".295","58.0","137.9","8.66","Av","1108",".663",".592","1","","","Av/140","","","","","","&nbsp;","Pr","Normal",".340",".311",  
"3B, LF, RF","Cruz, Hector R  ","$1,109,000","1210",".211",".288",".308","52.1","55.0","10.0","Av","1364",".557",".636","0","","","","Fr/140","","Av/120","","Av/120","Av","Fr","Normal",".274",".302",  
"C","Tebbetts, Birdie R  ","$1,102,000","7380",".234",".292",".291","48.2","144.7","13.7","Fr","8084",".592",".574","1","Vg/127","","","","","","","","&nbsp;","Fr","Prone",".299",".285",  
"2B, 3B, SS","Perez, Tomas S  ","$1,101,000","10838",".238",".282",".300","46.9","338.7","17.2","Pr","11626",".569",".588","-1","","","Vg/94","Vg/110","Av/91","","","","&nbsp;","Pr","Normal",".279",".283",  
"2B, SS","Wambsganss, Bill R  ","$1,100,000","16476",".230",".290",".320","54.7","72.3","13.8","Av","18612",".644",".586","-1","","","Vg/110","","Fr/124","","","","&nbsp;","Av","Prone",".304",".281",  
"SS, 3B","Wine, Bobby R  ","$1,100,000","10504",".207",".251",".266","33.1","184.3","18.2","Av","11367",".567",".484","-2","","","","Av/100","Vg/80","","","","&nbsp;","Pr","Prone",".271",".238",  
"C","Mitterwald, George R  ","$1,099,000","6745",".215",".270",".313","45.8","54.0","14.8","Fr","7308",".594",".586","-1","Vg/98","","","","","","","","&nbsp;","Fr","Normal",".280",".268",  
"CF, 3B, LF","Duffee, Charlie R  ","$1,095,000","1139",".230",".284",".356","57.2","45.6","14.1","Av","1245",".710",".499","-1","","","","Fr/116","","Av/82","Fr/82","","Vg","Av","Normal",".300",".251",  
"C","Widger, Chris R  ","$1,095,000","16488",".233",".289",".359","60.1","47.1","13.8","Fr","18037",".692",".553","-2","Vg/130","","","","","","","","&nbsp;","Pr","Prone",".305",".256",  
"LF, 2B, CF, RF","Amaral, Rich R  ","$1,094,000","14669",".257",".324",".297","59.6","1222.4","11.6","Vg","16403",".632",".605","-1","","","Av/175","","","Av/21","Fr/21","Av/21","Fr","Vg","Prone",".327",".320",  
"2B, 3B","Lemke, Mark S  ","$1,093,000","14215",".221",".282",".269","42.6","273.4","12.8","Fr","15733",".584",".531","-1","","","Vg/85","Vg/103","","","","","&nbsp;","Pr","Fragile",".296",".273",  
"C","Diaz, Bo R  ","$1,091,000","5222",".241",".289",".346","54.5","53.8","16.0","Pr","5660",".634",".636","-1","Av/95","","","","","","","","&nbsp;","Fr","Prone",".286",".293",  
"3B","Rollins, Rich R  ","$1,086,000","5188",".256",".317",".346","63.9","91.0","13.9","Av","5761",".665",".662","-1","","","","Fr/113","","","","","&nbsp;","Pr","Prone",".316",".318",  
"3B, 1B","Atkins, Garrett R  ","$1,085,000","9168",".247",".314",".348","64.1","56.6","11.2","Fr","10183",".678",".650","-1","","Fr/122","","Fr/103","","","","","&nbsp;","Pr","Normal",".322",".306",  
"C","Batts, Matt R  ","$1,085,000","4287",".237",".283",".352","55.6","69.1","16.6","Pr","4609",".649",".621","0","Av/115","","","","","","","","&nbsp;","Pr","Normal",".290",".276",  
"2B, 3B, CF","Chiozza, Lou L  ","$1,085,000","4138",".242",".294",".306","55.3","206.9","15.0","Vg","4535",".547",".614","0","","","Fr/159","Fr/166","","","Vg/87","","Av","Av","Prone",".275",".300",  
"3B","Reilly, Charlie S  ","$1,085,000","4585",".217",".265",".292","42.2","68.4","19.2","Av","4950",".540",".567","0","","","","Vg/91","","","","","&nbsp;","Fr","Normal",".268",".264",  
"C","Molina, Jose R  ","$1,084,000","3551",".221",".276",".287","43.1","131.5","14.6","Fr","3910",".571",".538","-1","Av/74","","","","","","","","&nbsp;","Fr","Normal",".280",".269",  
"3B, 1B","Schu, Rick R  ","$1,084,000","11371",".240",".311",".356","66.2","52.6","10.9","Av","12677",".688",".603","-2","","Av/111","","Fr/143","","","","","&nbsp;","Fr","Normal",".320",".284",  
"C","Henry, John R  ","$1,081,000","2951",".209",".278",".292","47.2","62.8","11.8","Av","3296",".591",".549","-1","Vg/68","","","","","","","","&nbsp;","Av","Normal",".290",".267",  
"2B, 3B, SS, LF, RF","Hocking, Denny S  ","$1,081,000","5393",".222",".285",".272","44.4","299.6","12.5","Av","5971",".529",".575","0","","","Fr/84","Fr/45","Av/84","Fr/51","","Fr/51","Av","Av","Normal",".274",".291",  
"C","Peacock, Johnny L  ","$1,081,000","6108",".236",".302",".297","53.0","190.9","11.8","Fr","6742",".596",".599","2","Fr/90","","","","","","","","&nbsp;","Fr","Normal",".295",".303",  
"LF, CF","Bigbee, Carson L  ","$1,077,000","5705",".245",".311",".342","63.8","71.3","11.7","Vg","6370",".586",".663","1","","","","","","Av/94","Av/94","","Av","Vg","Prone",".302",".313",  
"C","Fasano, Sal R  ","$1,076,000","18459",".208",".280",".336","53.7","34.0","15.5","Pr","20540",".616",".619","-1","Av/147","","","","","","","","&nbsp;","Pr","Normal",".285",".276",  
"C","Duncan, Dave R  ","$1,072,000","10510",".209",".273",".335","51.2","34.6","12.7","Fr","11578",".594",".617","0","Av/116","","","","","","","","&nbsp;","Pr","Prone",".269",".275",  
"LF, RF","Monroe, Craig R  ","$1,072,000","8942",".242",".295",".394","66.5","31.8","13.9","Av","9770",".711",".660","-1","","","","","","Av/166","","Av/166","Av","Fr","Normal",".304",".283",  
"LF, RF","Johnson, Lou R  ","$1,068,000","5637",".257",".308",".378","67.7","55.3","20.7","Av","6155",".690",".683","0","","","","","","Fr/80","","Fr/80","Fr","Av","Normal",".305",".312",  
"CF, LF, RF","Buford, Damon R  ","$1,067,000","18445",".228",".294",".324","55.4","69.3","12.1","Vg","20419",".654",".571","-2","","","","","","Vg/60","Av/60","Vg/60","Fr","Vg","Normal",".308",".275",  
"LF, 1B, RF","McClendon, Lloyd R  ","$1,065,000","14220",".234",".319",".351","67.6","40.4","9.09","Fr","16179",".677",".660","-1","","Av/112","","","","Fr/181","","Fr/181","Pr","Fr","Normal",".324",".312",  
"SS, 1B, 2B, 3B","Sveum, Dale S  ","$1,063,000","11707",".226",".286",".336","54.4","52.5","13.0","Av","12846",".645",".601","-1","","Av/186","Av/135","Av/170","Fr/136","","","","&nbsp;","Fr","Prone",".290",".281",  
"SS, 2B, 3B","Terrell, Jerry R  ","$1,062,000","5854",".256",".298",".306","52.3","487.8","19.3","Av","6351",".604",".604","-1","","","Av/59","Av/86","Fr/112","","","","&nbsp;","Vg","Normal",".298",".297",  
"SS, 2B","Cora, Alex L  ","$1,060,000","8578",".239",".299",".300","53.6","408.5","16.1","Av","9500",".617",".590","-1","","","Av/97","","Av/91","","","","&nbsp;","Fr","Normal",".309",".295",  
"SS, 2B, 3B","Thevenow, Tommy R  ","$1,057,000","12779",".195",".236",".232","24.0","266.2","20.6","Av","13709",".464",".470","-1","","","Av/99","Vg/76","Vg/99","","","","&nbsp;","Fr","Prone",".234",".237",  
"SS, 2B, 3B, LF, CF, RF","Bloomquist, Willie R  ","$1,056,000","2603",".260",".310",".318","58.9","433.8","15.0","Vg","2816",".648",".601","-1","","","Av/162","Fr/93","Fr/84","Av/84","Av/84","Av/84","Fr","Vg","Fragile",".320",".296",  
"1B","Simon, Randall L  ","$1,055,000","8961",".269",".302",".374","64.1","55.3","21.6","Fr","9537",".556",".687","2","","Fr/110","","","","","","","&nbsp;","Pr","Normal",".259",".306",  
"1B, LF, RF","Benzinger, Todd S  ","$1,053,000","15424",".237",".280",".340","54.7","63.2","17.9","Av","16559",".615",".624","0","","Av/71","","","","Av/56","","Av/56","Av","Fr","Normal",".280",".281",  
"2B, 3B, SS","Flynn, Doug R  ","$1,053,000","6787",".228",".251",".269","33.8","678.7","34.1","Av","7128",".542",".502","-1","","","Vg/66","Av/116","Av/96","","","","&nbsp;","Fr","Normal",".264",".241",  
"C","Davis, Ben S  ","$1,052,000","3893",".233",".292",".308","50.6","121.7","13.0","Fr","4281",".578",".605","0","Fr/97","","","","","","","","&nbsp;","Fr","Normal",".284",".297",  
"3B, 2B","Iorg, Garth R  ","$1,049,000","8034",".238",".271",".301","44.4","382.6","24.2","Av","8503",".600",".554","-1","","","Av/123","Vg/93","","","","","&nbsp;","Fr","Normal",".284",".262",  
"SP, 3B","Dunn, Jack R  ","$1,048,000","171",".240",".286",".351","59.4","57.0","18.2","Av","182",".684",".555","-1","","","","Fr/113","","","","","&nbsp;","Av","Normal",".310",".242",  
"2B, 3B","Gagliano, Phil R  ","$1,047,000","533",".231",".308",".276","52.2","266.5","10.2","Av","594",".643",".544","0","","","Av/121","Fr/95","","","","","&nbsp;","Pr","Normal",".339",".287",  
